Number ,Category ,Name of Homestay ,Name's Owner,Address,Facilities,Number of Rooms,Price,Link images for download
22,Middle Range,KANCIL LAUT,ABDUL LATIF,JALAN BOUGENVILLE RT 001/01,"AC, TV, SPRING BED ",2 ROOM,Rp. 350.000 per room,https://drive.google.com/file/d/1EkggntT5-tuYTj5OUf7b3aJXtpmWGIix/view?usp=drive_link
23,Middle Range,RELAXE,NASIR,JALAN BOUGENVILLE RT 001/01,"AC, TV, SPRING BED ",4 ROOM,Rp. 350.000 per room,https://drive.google.com/file/d/1vtc7PExkf_9IXdIClGTfQ7M1W59-Lojg/view?usp=drive_link
24,Middle Range,KARANG BOLONG ,THAMRIN,JALAN BOUGENVILLE RT 001/03,"AC, TV, SPRING BED ",20 ROOM,Rp. 350.000 per room,https://drive.google.com/file/d/1ElS6Ow-4sLkbi8t_JNTlVcRzmdEgVKaU/view?usp=drive_link
25,Middle Range,CERACA,ILYAS,JALAN BOUGENVILLE RT 001/03,"AC, TV, DISPENSER, SPRING BED",1 ROOM,Rp. 350.000 per room,https://drive.google.com/file/d/1mGNcKqKkF9RtpxX11JmSvRwORJPkDmIM/view?usp=drive_link
26,Middle Range,MARLIN II,RUSLI,JALAN BOUGENVILLE RT 001/01,"AC, TV SPRING BED",4 ROOM,Rp. 350.000 per room,https://drive.google.com/file/d/1-8aQZthCc5WE2KtSBbRcLVgkC6TqMi4P/view?usp=drive_link
27,Middle Range,KUDA LAUT,H. ANTON,JALAN MINDI RT 001/01,"AC, TV, DISPENSER, SPRING BED",6 ROOM,Rp. 400.000 per room ,https://drive.google.com/file/d/1apOGRFISJ6Z4eMYnrGxv0TPSQ8wXbPM7/view?usp=drive_link
28,Middle Range,LOHAN,HANIAWATI,JALAN BOUGENVILLE RT 001/01,"AC, TV SPRING BED",1 HOME (2 ROOM),Rp.400.000 per room,https://drive.google.com/file/d/1Mjf1W8aKkGL7oflpGz3KK37EBSaPZmTS/view?usp=drive_link
29,Middle Range,BUNGA PADI,NUR HALI,JALAN BOUGENVILLE RT 002 RW 01,"AC, TV, SPRING BED",5 ROOM,Rp. 500.000 per room,https://drive.google.com/file/d/1v7vZr9wXXQcHF2vg4enB4lA0A7eKZVIW/view?usp=drive_link
,,,,,,,,
,,,,,,,,
1,Premium Stay,BUNGA WARU,RAMLI,JALAN BOUGENVILLE RT 001/01,"AC, TV SPRING BED",1 HOME (2 ROOM),Rp. 500.000 per room,https://drive.google.com/file/d/1ThvDy6Jz3E3VVmN5dg6Mk39yVbzFFs4M/view?usp=drive_link
2,Premium Stay,GIRU II,RAMLI SARAGIH,JALAN URIBANG RT.002/01,"AC, TV, DISPENSER, SPRING BED",1 HOME ( 4 ROOM),Rp. 500.000 per room,https://drive.google.com/file/d/1jf-QTH7bKgMgX3SEKTVroGzTq5Fs-nEU/view?usp=drive_link
3,Premium Stay,ALIND,H.ALI NURDIN ,JALAN BOUGENVILLE RT 001/01,"AC, TV, SPRING BED",1 HOME (2 ROOM),Rp. 600.000 per home,https://drive.google.com/file/d/1y5XsywHobJgUfuU7bXX46mmQzlY4-C_u/view?usp=drive_link
4,Premium Stay,BUNGA MAWAR,MUTADI,JALAN MINDI RT 001/01,"AC, TV,  SPRING BED",1 HOME (4 ROOM),Rp. 600.000 per home,https://drive.google.com/file/d/1BZWgcsu73xSmljV_OVI8IRZjWdPbtNgE/view?usp=drive_link
5,Premium Stay,ARWANA II,ULMU BAHRONI,JALAN PULAU NUSI RT 003/02,"AC, TV, DISPENSER, SPRING BED ",4 ROOM,Rp. 600.000 per home,https://drive.google.com/file/d/10YK4VidOYBKAkVa1NPw-aw2L720n6oZ0/view?usp=drive_link
6,Premium Stay,SOGO,SOLIH ,JALAN BOUGENVILLE RT 001/01,"AC, TV, SPRING BED ",1 HOME ( 2 ROOM),Rp. 600.000 per home,https://drive.google.com/file/d/1O76L_mXlgWQv_E8-IaKg1HvdXWsaKH6n/view?usp=drive_link
7,Premium Stay,TIGATA,CHANDRA,JALAN LAUDIT RT 003/01,"FAN, TV, SPRING BED ",1 HOME (2 ROOM),Rp. 700.000 per home,https://drive.google.com/file/d/1lOdIBgWjB6M3u9Dj77K7jxYYvlTKW49z/view?usp=drive_link
8,Premium Stay,HARITA,SARIF (ALM. SATIM),JALAN KARANG KROYA RT 001/01,"AC, TV, SPRING BED",3 ROOM,Rp. 750.000 per home,https://drive.google.com/file/d/11UEr0avrjGuSbxrK8CFqdEprjnnY_p_N/view?usp=drive_link
9,Premium Stay,BINTANG,H.ALI NURDIN,JALAN BOUGENVILLE RT 001/01,"AC, TV, SPRING BED",29 ROOM ,Rp. 750.000 per home,https://drive.google.com/file/d/10RxfqbMyztpv7Lkl6CawbBu-UrV9_faA/view?usp=drive_link
10,Premium Stay,CUMI CUMI,SA'ANAH,JALAN BOUGENVILLE RT 001/01,"AC, TV SPRING BED",1 HOME (2 ROOM),Rp. 750.000 per home,https://drive.google.com/file/d/1UHJA0PetOJ7XOiqQlHIW64EiW9aBbeRS/view?usp=drive_link
11,Premium Stay,GIRU II,RAMLI SARAGIH,JALAN URIBANG RT.002/01,"AC, TV, DISPENSER, SPRING BED",1 HOME ( 4 ROOM),Rp. 500.000 per room,https://drive.google.com/file/d/1jf-QTH7bKgMgX3SEKTVroGzTq5Fs-nEU/view?usp=drive_link
12,Premium Stay,MARLIN,JALAN URIBANG RT.002/01,1 HOME ( 2 ROOM),"AC, TV, DISPENSER, SPRING BED,WARDROBE",1 HOME ( 2 ROOM),Rp. 750.000 per home,https://drive.google.com/file/d/1KtLZGOdRQZANMSsYf_Qy9qm_X8IokBg4/view?usp=drive_link
13,Premium Stay,BETOK I,JALAN BOUGENVILLE RT 001/03,1 HOME ( 4 ROOM),"AC, TV, DISPENSER, SPRING BED",1 HOME ( 4 ROOM),Rp.1.000.000 per home,https://drive.google.com/file/d/1o861C3tqo8E2diH7v9bXZHIc4Edh-e6V/view?usp=drive_link
,,,,,,,,
,,    ,,,,,,
